country,manager,appointed_date,tenure_days
Hungary,Marco Rossi,2018-06-19,2875.0
Iceland,Arnar Gunnlaugsson,2025-01-16,472.0
Israel,Ran Ben Shimon,2024-05-23,710.0
Italy,Silvio Baldini (caretaker),2026-04-10,23.0
Kazakhstan,Talgat Baysufinov,2026-01-28,95.0
Kosovo,Franco Foda,2024-02-17,806.0
Latvia,Paolo Nicolato,2024-02-05,818.0
Liechtenstein,Konrad Fünfstück,2023-06-01,1067.0
Lithuania,Edgaras Jankauskas,2023-01-30,1189.0
Luxembourg,Jeff Strasser,2025-08-19,257.0
Malta,Emilio De Leo,2025-01-13,475.0
Moldova,Lilian Popescu,2025-09-16,229.0
Montenegro,Mirko Vučinić,2025-09-19,226.0
Netherlands,Ronald Koeman,2023-01-23,1196.0
North Macedonia,Goce Sedloski,2025-12-22,132.0
Northern Ireland,Michael O'Neill,2022-12-07,1243.0
Norway,Ståle Solbakken,2020-12-07,1973.0
Poland,Jan Urban,2025-07-16,291.0
Portugal,Roberto Martínez,2023-01-09,1210.0
Republic of Ireland,Heimir Hallgrímsson,2024-07-10,662.0
Romania,Gheorghe Hagi,2026-04-20,13.0
Russia,Valery Karpin,2021-07-26,1742.0
San Marino,Roberto Cevoli,2023-12-15,870.0
Scotland,Steve Clarke,2019-05-20,2540.0
Serbia,Veljko Paunović,2025-10-30,185.0
Slovenia,Boštjan Cesar,2026-01-21,102.0
Spain,Luis de la Fuente,2022-12-08,1242.0
Sweden,Graham Potter,2025-10-20,195.0
Switzerland,Murat Yakin,2021-08-09,1728.0
Turkey,Vincenzo Montella,2023-09-27,949.0
Wales,Craig Bellamy,2024-07-09,663.0
